Strategy,Scenario,TickRate,Seed,StepTimeNs,Stability,LeftWingHealth,EngineHealth,WingSevered
C_OBBHitboxes_Cascading,hydraulics_failure,60,1,136.05,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,hydraulics_failure,60,2,116.13,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,hydraulics_failure,60,3,119.83,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,hydraulics_failure,60,4,111.83,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,60,0,111.00,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,60,1,111.05,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,60,2,135.33,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,60,3,110.72,1,1.0000,1.0000,0
C_OBBHitboxes_Cascading,pilot_sniping,60,4,110.77,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,60,0,290.25,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,60,1,288.98,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,60,2,296.33,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,60,3,289.47,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,direct_wing_hit,60,4,289.30,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,60,0,288.28,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,60,1,288.17,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,60,2,295.21,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,60,3,288.31,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,engine_fire_cascade,60,4,288.50,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,60,0,288.28,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,60,1,288.29,0,0.0000,1.0000,1
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,60,2,288.29,0,0.0000,1.0000,1
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,60,3,288.76,0,0.0000,1.0000,1
D_OBBHitboxes_Cascading_GForce,high_g_maneuver_snapping,60,4,288.35,0,0.0000,1.0000,1
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,60,0,292.96,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,60,1,287.82,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,60,2,288.15,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,60,3,300.20,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,hydraulics_failure,60,4,288.68,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,60,0,288.72,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,60,1,293.81,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,60,2,287.75,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,60,3,287.78,1,1.0000,1.0000,0
D_OBBHitboxes_Cascading_GForce,pilot_sniping,60,4,288.18,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,60,0,310.77,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,60,1,327.76,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,60,2,299.50,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,60,3,306.17,1,1.0000,1.0000,0
E_Vectorized_Projectiles,direct_wing_hit,60,4,292.51,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,60,0,295.27,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,60,1,293.96,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,60,2,291.29,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,60,3,294.55,1,1.0000,1.0000,0
E_Vectorized_Projectiles,engine_fire_cascade,60,4,295.46,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,60,0,323.34,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,60,1,298.64,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,60,2,326.38,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,60,3,293.20,1,1.0000,1.0000,0
E_Vectorized_Projectiles,high_g_maneuver_snapping,60,4,297.28,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,60,0,291.32,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,60,1,290.91,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,60,2,309.04,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,60,3,298.46,1,1.0000,1.0000,0
E_Vectorized_Projectiles,hydraulics_failure,60,4,319.77,1,1.0000,1.0000,0
E_Vectorized_Projectiles,pilot_sniping,60,0,301.38,1,1.0000,1.0000,0
E_Vectorized_Projectiles,pilot_sniping,60,1,297.11,1,1.0000,1.0000,0
E_Vectorized_Projectiles,pilot_sniping,60,2,295.88,1,1.0000,1.0000,0
E_Vectorized_Projectiles,pilot_sniping,60,3,303.35,1,1.0000,1.0000,0
E_Vectorized_Projectiles,pilot_sniping,60,4,293.26,1,1.0000,1.0000,0
