strategy,scene,seed,iter,op,us,bytes,ok
D_VersionedChunked_Delta_LZ4,large_world,42,0,delta_load,6000.55,1931672,1
E_ContentAddressed_Dedupe,large_world,42,0,save,73992.45,143060,1
E_ContentAddressed_Dedupe,large_world,42,0,load,25570.95,143060,1
E_ContentAddressed_Dedupe,large_world,42,0,verify,157.69,0,1
E_ContentAddressed_Dedupe,large_world,42,0,mutate_save_0,8595.29,143060,1
E_ContentAddressed_Dedupe,large_world,42,0,delta_load,22649.28,143060,1
A_FullJSON_SingleFile,large_world,1234,0,save,37099.25,4203426,1
A_FullJSON_SingleFile,large_world,1234,0,load,10289.58,4203426,1
A_FullJSON_SingleFile,large_world,1234,0,verify,86.25,0,1
A_FullJSON_SingleFile,large_world,1234,0,mutate_save_0,42210.94,4203426,1
A_FullJSON_SingleFile,large_world,1234,0,delta_load,9490.69,4203426,1
B_ChunkedBinary_Raw,large_world,1234,0,save,3408.18,2930952,1
B_ChunkedBinary_Raw,large_world,1234,0,load,1384.26,2930952,1
B_ChunkedBinary_Raw,large_world,1234,0,verify,78.54,0,1
B_ChunkedBinary_Raw,large_world,1234,0,mutate_save_0,8019.62,2930952,1
B_ChunkedBinary_Raw,large_world,1234,0,delta_load,1573.10,2930952,1
C_ChunkedBinary_Zstd,large_world,1234,0,save,15870.79,1946384,1
C_ChunkedBinary_Zstd,large_world,1234,0,load,6730.31,1946384,1
C_ChunkedBinary_Zstd,large_world,1234,0,verify,193.62,0,1
C_ChunkedBinary_Zstd,large_world,1234,0,mutate_save_0,19454.76,1946384,1
C_ChunkedBinary_Zstd,large_world,1234,0,delta_load,5078.95,1946384,1
D_VersionedChunked_Delta_LZ4,large_world,1234,0,save,13407.97,1931275,1
D_VersionedChunked_Delta_LZ4,large_world,1234,0,load,5314.59,1931275,1
D_VersionedChunked_Delta_LZ4,large_world,1234,0,verify,136.01,0,1
D_VersionedChunked_Delta_LZ4,large_world,1234,0,mutate_save_0,18544.58,1931275,1
D_VersionedChunked_Delta_LZ4,large_world,1234,0,delta_load,4925.19,1931275,1
E_ContentAddressed_Dedupe,large_world,1234,0,save,72330.50,143060,1
E_ContentAddressed_Dedupe,large_world,1234,0,load,22409.01,143060,1
E_ContentAddressed_Dedupe,large_world,1234,0,verify,141.54,0,1
E_ContentAddressed_Dedupe,large_world,1234,0,mutate_save_0,7226.81,143060,1
E_ContentAddressed_Dedupe,large_world,1234,0,delta_load,18793.43,143060,1
A_FullJSON_SingleFile,large_world,31337,0,save,32979.97,4205818,1
A_FullJSON_SingleFile,large_world,31337,0,load,9078.61,4205818,1
A_FullJSON_SingleFile,large_world,31337,0,verify,82.32,0,1
A_FullJSON_SingleFile,large_world,31337,0,mutate_save_0,44872.18,4205818,1
A_FullJSON_SingleFile,large_world,31337,0,delta_load,9059.39,4205818,1
B_ChunkedBinary_Raw,large_world,31337,0,save,3927.93,2930952,1
B_ChunkedBinary_Raw,large_world,31337,0,load,1704.18,2930952,1
B_ChunkedBinary_Raw,large_world,31337,0,verify,85.56,0,1
B_ChunkedBinary_Raw,large_world,31337,0,mutate_save_0,8796.04,2930952,1
B_ChunkedBinary_Raw,large_world,31337,0,delta_load,1486.51,2930952,1
