shader,mode,toolchain,iter,compile_ms,spv_size_bytes,validation_pass,spirv_inst_count
voxel_mesh_minimal.mesh,optimize,dxc,10,12.075,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,11,12.990,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,12,12.795,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,13,13.737,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,14,13.767,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,15,13.449,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,16,13.609,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,17,13.213,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,18,13.153,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,19,13.524,3904,1,234
voxel_mesh_minimal.mesh,optimize,dxc,20,13.277,3904,1,234
hzb_cull_minimal.comp,default,glslc,1,112.910,4272,1,255
hzb_cull_minimal.comp,default,glslc,2,118.643,4272,1,255
hzb_cull_minimal.comp,default,glslc,3,114.879,4272,1,255
hzb_cull_minimal.comp,default,glslc,4,122.022,4272,1,255
hzb_cull_minimal.comp,default,glslc,5,119.709,4272,1,255
hzb_cull_minimal.comp,default,glslc,6,121.210,4272,1,255
hzb_cull_minimal.comp,default,glslc,7,118.187,4272,1,255
hzb_cull_minimal.comp,default,glslc,8,121.985,4272,1,255
hzb_cull_minimal.comp,default,glslc,9,120.905,4272,1,255
hzb_cull_minimal.comp,default,glslc,10,115.582,4272,1,255
hzb_cull_minimal.comp,default,glslc,11,112.853,4272,1,255
hzb_cull_minimal.comp,default,glslc,12,120.259,4272,1,255
hzb_cull_minimal.comp,default,glslc,13,122.904,4272,1,255
hzb_cull_minimal.comp,default,glslc,14,118.934,4272,1,255
hzb_cull_minimal.comp,default,glslc,15,121.126,4272,1,255
hzb_cull_minimal.comp,default,glslc,16,118.481,4272,1,255
hzb_cull_minimal.comp,default,glslc,17,120.825,4272,1,255
hzb_cull_minimal.comp,default,glslc,18,124.355,4272,1,255
hzb_cull_minimal.comp,default,glslc,19,119.919,4272,1,255
hzb_cull_minimal.comp,default,glslc,20,124.207,4272,1,255
hzb_cull_minimal.comp,default,dxc,1,13.016,3320,1,195
hzb_cull_minimal.comp,default,dxc,2,12.997,3320,1,195
hzb_cull_minimal.comp,default,dxc,3,12.960,3320,1,195
hzb_cull_minimal.comp,default,dxc,4,12.635,3320,1,195
hzb_cull_minimal.comp,default,dxc,5,12.308,3320,1,195
hzb_cull_minimal.comp,default,dxc,6,14.054,3320,1,195
hzb_cull_minimal.comp,default,dxc,7,13.415,3320,1,195
hzb_cull_minimal.comp,default,dxc,8,13.058,3320,1,195
hzb_cull_minimal.comp,default,dxc,9,11.391,3320,1,195
hzb_cull_minimal.comp,default,dxc,10,14.061,3320,1,195
