strategy,scene,seed,iter,time_ns,count,components,plausibility
A_UniformRandom,stratified_3layer,3,26,4250,60,50,0.0000
A_UniformRandom,stratified_3layer,3,27,4360,62,47,0.0000
A_UniformRandom,stratified_3layer,3,28,4330,58,45,0.0000
A_UniformRandom,stratified_3layer,3,29,4360,57,40,0.0000
A_UniformRandom,stratified_3layer,3,30,4360,60,48,0.0000
A_UniformRandom,stratified_3layer,3,31,5810,61,49,0.0000
A_UniformRandom,stratified_3layer,3,32,5910,64,40,0.0000
A_UniformRandom,stratified_3layer,3,33,4660,68,49,0.0000
A_UniformRandom,stratified_3layer,3,34,3920,48,43,0.0000
A_UniformRandom,stratified_3layer,3,35,4870,72,49,0.0000
A_UniformRandom,stratified_3layer,3,36,5000,72,42,0.0000
A_UniformRandom,stratified_3layer,3,37,4620,67,43,0.0000
A_UniformRandom,stratified_3layer,3,38,4170,55,43,0.0000
A_UniformRandom,stratified_3layer,3,39,4290,54,35,0.0000
A_UniformRandom,stratified_3layer,3,40,4600,64,40,0.0000
A_UniformRandom,stratified_3layer,3,41,4900,73,49,0.0000
A_UniformRandom,stratified_3layer,3,42,4940,72,48,0.0000
A_UniformRandom,stratified_3layer,3,43,4310,57,35,0.0000
A_UniformRandom,stratified_3layer,3,44,4370,62,45,0.0000
A_UniformRandom,stratified_3layer,3,45,4150,53,41,0.0000
A_UniformRandom,stratified_3layer,3,46,4950,75,48,0.0000
A_UniformRandom,stratified_3layer,3,47,4500,59,38,0.0000
A_UniformRandom,stratified_3layer,3,48,4210,52,33,0.0000
A_UniformRandom,stratified_3layer,3,49,4560,67,43,0.0000
A_UniformRandom,stratified_3layer,4,0,4199,58,43,0.0000
A_UniformRandom,stratified_3layer,4,1,4290,60,47,0.0000
A_UniformRandom,stratified_3layer,4,2,4380,61,44,0.0000
A_UniformRandom,stratified_3layer,4,3,4250,60,45,0.0000
A_UniformRandom,stratified_3layer,4,4,4610,70,54,0.0000
A_UniformRandom,stratified_3layer,4,5,4470,60,38,0.0000
A_UniformRandom,stratified_3layer,4,6,4500,62,41,0.0000
A_UniformRandom,stratified_3layer,4,7,4320,61,48,0.0000
A_UniformRandom,stratified_3layer,4,8,4650,68,45,0.0000
A_UniformRandom,stratified_3layer,4,9,3890,48,42,0.0000
A_UniformRandom,stratified_3layer,4,10,4660,65,41,0.0000
A_UniformRandom,stratified_3layer,4,11,4670,65,45,0.0000
A_UniformRandom,stratified_3layer,4,12,4240,56,39,0.0000
A_UniformRandom,stratified_3layer,4,13,4130,53,37,0.0000
A_UniformRandom,stratified_3layer,4,14,4280,56,32,0.0000
A_UniformRandom,stratified_3layer,4,15,4340,59,39,0.0000
A_UniformRandom,stratified_3layer,4,16,4400,62,42,0.0000
A_UniformRandom,stratified_3layer,4,17,4270,56,39,0.0000
A_UniformRandom,stratified_3layer,4,18,4220,54,41,0.0000
A_UniformRandom,stratified_3layer,4,19,4330,60,39,0.0000
A_UniformRandom,stratified_3layer,4,20,4270,56,45,0.0000
A_UniformRandom,stratified_3layer,4,21,4640,57,41,0.0000
A_UniformRandom,stratified_3layer,4,22,6120,68,45,0.0000
A_UniformRandom,stratified_3layer,4,23,4270,52,38,0.0000
A_UniformRandom,stratified_3layer,4,24,3950,46,32,0.0000
A_UniformRandom,stratified_3layer,4,25,4550,63,38,0.0000
